品番,ブランド名,チャネル,シーズン,ステップ,タイプ,シーン1,シーン2,補整力,シルエット,上代数値,cluster,medoid_score,tsne_x,tsne_y,Rep
MG07502,MAGIC,EC,夏,0,一般,見せる,日中,2,自然,5400,2,0.172751288,0.124518454,0.31462306,
MG07504,MAGIC,EC,通年,0,グラマー,見せない,日中,2,自然,6300,2,2.523009481,0.32142383,0.27464902,
MG07505,MAGIC,EC,夏,0,一般,見せる,日中,2,自然,5600,2,0,0.14265418,0.3944353,
MG122201,MAGIC,EC,通年,0,一般~グラマー,見せない,日中,3,高さ/自然,4800,1,2.503714654,0.7864593,0.44069612,1
MG124301,MAGIC,EC,通年,0,プチ~一般,見せない,all,2,自然,6300,2,2.892330694,0.32716757,0.1805507,
MG125201,MAGIC,EC,通年,0,一般,見せない,日中,3,高さ/自然,6300,1,2.569887332,0.719939,0.40025556,
MG125301,MAGIC,EC,通年,0,一般~グラマー,見せない,日中,3,高さ/自然,6800,1,2.731722417,0.7678711,0.36590493,
MG523101,MAGIC,EC,通年,0,一般,見せる,日中,2,自然,5400,2,1.42472559,0.19301474,0.25883508,1
MG525401,MAGIC,EC,通年,0,一般,見せない,日中,2,自然,5600,2,2,0.26371634,0.25556374,
MG525402,MAGIC,EC,冬,0,一般,見せない,日中,2,自然,6300,2,2.089396286,0.27297628,0.35891664,
MG525403,MAGIC,EC,冬,0,一般,見せる,日中,2,自然,5800,2,1.42472559,0.20439363,0.3549497,
MG525404,MAGIC,EC,冬,0,一般,見せる,日中,2,自然,7000,2,1.860727644,0.22461843,0.43469805,
YH09501,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,4600,3,0,0.65263164,0.13270175,
YH124201,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,3900,3,0.604629508,0.668409,0,
YH124301,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,3800,3,0.691005151,0.7208566,0.06386578,
YH125201,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,4600,3,0,0.65263164,0.13270175,
YH125401,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,4600,3,0,0.65263164,0.13270175,
YH524101,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,5200,3,0.518253864,0.58569264,0.052688837,
YH524301,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,4600,3,0,0.65263164,0.13270175,
YH525101,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,5200,3,0.518253864,0.58569264,0.052688837,1
YH525301,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,5200,3,0.518253864,0.58569264,0.052688837,1
YH525401,Yukine. Inc.,テレビ・EC,通年,なし,一般~グラマー,見せない,日中,2,自然,5200,3,0.518253864,0.58569264,0.052688837,
