品番,img_file_Name,名前,存在チェック,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感
ME122105,ME122105.jpg,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗ,○,Me,店舗・EC,"5,200",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ,強
ME123102,ME123102.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗ23S1,○,Me,店舗・EC,"5,200",定番,通年,夏,0,なし,一般,見せない,日中,5,高さ,強
ME123103,ME123103.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨｵｰﾙｲﾝﾜﾝﾌﾞﾗ,○,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中
ME124103,ME124103.jpg,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾗｲﾄﾌﾞﾗ,○,Me,店舗・EC,"5,200",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中
ME124301,ME124301.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗ24A1,○,Me,店舗・EC,"5,700",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,中
ME124302,ME124302.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾌﾛﾝﾄﾎｯｸﾌﾞﾗ24A1,○,Me,店舗・EC,"5,000",2024AW,2024年9月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中
ME124303,ME124303.jpg,ﾌﾞﾗﾃﾞﾘｽ WithMeﾌﾞﾗ24A1,○,Me,店舗・EC,"5,500",2024AW,2024年10月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中
ME124304,ME124304.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰｻﾎﾟｰﾄﾌﾞﾗ,○,Me,店舗・EC,"4,500",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,弱
ME125101,ME125101.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾊﾞｯｸｽﾑｰｽﾞﾌﾞﾗ25S1,○,Me,店舗・EC,"6,000",2025SS,2025年1月,通年,0,なし,一般~グラマー,見せない,日中,4,高さ,強
ME125102,ME125102.jpg,ﾌﾞﾗﾃﾞﾘｽ Plushﾌﾞﾗ25S1,○,Me,店舗・EC,"5,400",2025SS,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中
ME125301,ME125301.jpg,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗ,○,Me,店舗・EC,"5,500",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中
ME125302,ME125302.jpg,ﾌﾞﾗﾃﾞﾘｽ Sweet Night Bra,○,Me,店舗・EC,"5,800",2025AW,2025年8月,通年,0,なし,一般,見せない,就寝,3,高さ/自然,中
ME125303,ME125303.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰﾎｰﾙﾄﾞﾌﾞﾗ,×,Me,店舗・EC,"5,000",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,弱
ME518306,ME518306.jpg,BRADELISHUGME Bra Camisole,○,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中
ME522301,ME522301.jpg,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗｷｬﾐ,○,Me,店舗・EC,"5,800",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中
ME524301,ME524301.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗｷｬﾐ24A1,○,Me,店舗・EC,"6,300",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,中
ME524302,ME524302.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗｷｬﾐ24A1,○,Me,店舗・EC,"6,000",2024AW,2024年9月,通年,0,なし,一般,見せない,日中,4,高さ/自然,強
ME525101,ME525101.jpg,ﾌﾞﾗﾃﾞﾘｽ ｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,○,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱
ME525301,ME525301.jpg,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗｷｬﾐ,○,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中
ME525303,ME525303.jpg,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾟﾗｽﾌﾞﾗｷｬﾐ25A1,×,Me,店舗・EC,"6,300",2025AW,2025年10月,通年,0,なし,一般,見せない,日中,4,高さ/自然,中
ME525304,ME525304.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾛｱﾌﾞﾗｷｬﾐ,×,Me,店舗・EC,"6,500",2025AW,2025年9月,冬,0,なし,一般,見せる,日中,2,自然,弱
ME525305,ME525305.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰｺﾝﾌｫｰﾄﾌﾞﾗﾄｯﾌﾟ,×,Me,店舗・EC,"5,600",定番,通年,夏,0,なし,一般,見せる,日中,2,自然,弱
ME126101,ME126101.jpg,ﾌﾞﾗﾃﾞﾘｽ Dreamy Night Bra,×,Me,店舗・EC,"6,000",2026SS,2026年2月,通年,0,なし,プチ,見せない,就寝,2,自然,弱
ME126104,ME126104.jpg,ﾌﾞﾗﾃﾞﾘｽ Lacy Cool Bra26S1,×,Me,店舗・EC,"6,000",2026SS,2026年3月,夏,0,なし,一般~グラマー,見せる,日中,2,自然,弱
ME126103,ME126103.jpg,ﾌﾞﾗﾃﾞﾘｽ Lovely Back Bra26S1,×,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,プチ~一般,見せる,日中,2,自然,中
ME06601,ME06601.jpg,新オールインワンライト,×,Me,店舗・EC,"5,400",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中
ME09502,ME09502.jpg,新オールインワンライトブラキャミ,×,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中
ME526101,ME526101.jpg,ﾌﾞﾗﾃﾞﾘｽ Lacy Tube Top,×,Me,店舗・EC,"6,300",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,2,自然,中
ME08503,ME08503.jpg,シルク混ナイトブラ,×,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,一般,見せない,就寝,2,自然,弱
MG121102,MG121102.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾁｬﾚﾝｼﾞﾌﾞﾗ,○,MAGIC,EC,"6,800",定番,2021年,通年,1,あり,一般,見せない,日中,5,自然,強
MG122201,MG122201.jpg,ｼｰﾑﾚｽﾊｰﾄｶｯﾌﾟﾌﾞﾗ,○,MAGIC,EC,"4,800",定番,2022年,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中
MG124301,MG124301.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾃﾞｲﾘｰﾅｲﾄﾌﾞﾗ,○,MAGIC,EC,"6,300",定番,2024年9月,通年,0,なし,プチ~一般,見せない,all,2,自然,弱
MG125201,MG125201.jpg,ﾌﾛｰﾗﾙﾌｨｯﾄﾉﾝﾜｲﾔｰﾌﾞﾗ,○,MAGIC,EC,"6,300",25SS,2025年7月,通年,0,なし,一般,見せない,日中,3,高さ/自然,中
MG125301,MG125301.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼｰﾑﾚｽｽｷﾝﾌﾞﾗ,×,MAGIC,EC,"6,800",定番,2025年10月予定,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,中
MG07501,MG07501.jpg,Newイージーナイト,×,MAGIC,EC,"5,000",定番,2026年3月予定,通年,0,なし,プチ~一般,見せない,就寝,1,自然,弱
MG07504,MG07504.jpg,ミニマイザー,×,MAGIC,EC,"6,300",定番,2026年3月予定,通年,0,なし,グラマー,見せない,日中,2,自然,弱
MG523101,MG523101.jpg,軽やかﾌｨｰﾙ快適ﾌﾞﾗｷｬﾐ,○,MAGIC,EC,"5,400",定番,2023年7月,通年,0,なし,一般,見せる,日中,2,自然,弱
MG525401,MG525401.jpg,やわらかブラタンクトップ,×,MAGIC,EC,"5,600",定番,2025年12月予定,通年,0,なし,一般,見せない,日中,2,自然,弱
MG525402,MG525402.jpg,やわらかウォームブラインナー,×,MAGIC,EC,"6,300",定番,2025年12月予定,冬,0,なし,一般,見せない,日中,2,自然,弱
MG525403,MG525403.jpg,ベロアタッチリブブラタンクトップ,×,MAGIC,EC,"5,800",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱
MG525404,MG525404.jpg,ベロアタッチリブブラワンピース,×,MAGIC,EC,"7,000",定番,2025年12月予定,冬,0,なし,一般,見せる,日中,2,自然,弱
MG07502,MG07502.jpg,ひんやりブラキャミ,×,MAGIC,EC,"5,400",定番,2026年4月予定,夏,0,なし,一般,見せる,日中,2,自然,弱
MG02503,MG02503.jpg,リブブラタンクトップ,×,MAGIC,EC,"5,400",定番,2026年2月予定,夏,0,なし,一般,見せる,日中,2,自然,弱
MG07505,MG07505.jpg,Aラインブラトップ,×,MAGIC,EC,"5,600",定番,2026年3月予定,夏,0,なし,一般,見せる,日中,2,自然,弱
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,84,,,,,,,,,,,,,,
