品番,img_file_Name,名前,存在チェック,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感
CA125101,CA125101.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年1月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA125102,CA125102.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ25S1,○,NY,店舗・EC,"9,000",25SS,2025年1月,通年,1,あり,一般,見せない,日中,5,自然,強
CA125103,CA125103.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年1月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125104,CA125104.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｽﾃｯﾌﾟ1ﾌﾞﾗ25S1,○,NY,店舗・EC,"10,000",25SS,2025年3月,通年,1,あり,一般,見せない,日中,5,自然,中
CA125106,CA125106.jpg,ﾌﾞﾗﾃﾞﾘｽ ｴﾘﾝﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年3月,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,強
CA125107,CA125107.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ25S2,○,NY,店舗・EC,"13,000",25SS,2025年4月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA125108,CA125108.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｿﾌﾄｽﾃｯﾌﾟ1ﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年4月,通年,1,あり,一般,見せない,日中,5,自然,弱
CA125109,CA125109.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｸﾘｰﾝｽﾃｯﾌﾟ3ﾌﾞﾗ25S1,○,NY,店舗・EC,"14,000",25SS,2025年4月,通年,3,あり,一般,見せない,日中,5,高さ/自然,中
CA125110,CA125110.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25S2,○,NY,店舗・EC,"12,000",25SS,2025年6月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125111,CA125111.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾐﾆﾏｲｻﾞｰﾌﾞﾗ25S1,○,NY,店舗・EC,"12,000",25SS,2025年6月,通年,なし,あり,グラマー,見せない,日中,4,自然,弱
CA125112,CA125112.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25S3,○,NY,店舗・EC,"9,500",25SS,2025年6月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125113,CA125113.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25S4,○,NY,店舗・EC,"9,500",25SS,2025年5月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA525104,CA525104.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ25S1,○,NY,店舗・EC,"7,200",25SS,2025年3月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中
CA125301,CA125301.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ25A1,○,NY,店舗・EC,"9,000",25AW,2025年7月,通年,1,あり,一般,見せない,日中,5,自然,強
CA125302,CA125302.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ25A1,○,NY,店舗・EC,"12,000",25AW,2025年7月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA125303,CA125303.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳﾞｨｵﾗｽﾃｯﾌﾟ3ﾌﾞﾗ25A1,○,NY,店舗・EC,"14,000",25AW,2025年8月,通年,3,あり,一般,見せない,日中,5,高さ,強
