品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,Rep,cluster,medoid_score,tsne_x,tsne_y,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
DB125103,ﾊｰﾄﾌﾙｶｯﾌﾟｶｼｭｸｰﾙﾌﾞﾗﾌﾟﾚｰﾝﾀｲﾌﾟ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,1,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB125202,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,1,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
DB125203,細みえｼﾝﾌﾟﾙﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,1,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
DB125401,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗ25,PEACE,テレビ・EC,"5,800",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB524201,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ24,PEACE,テレビ・EC,"6,000",通年QVC,2024年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱,C,.,0,0,1.4142135623730951,0.6488563,0.8092061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB524203,綿混楽々ﾊﾞｽﾄｷｰﾌﾟｷｬﾐ24,PEACE,テレビ・EC,"5,200",通年QVC,2024年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,0,0,0,0.35910004,0.6902382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525101,綿さらﾀｯﾁ!ﾅﾁｭﾗﾙﾌｨｯﾄﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,300",通年QVC,2025年3月,通年,0,なし,一般,見せない,日中,4,自然,中,C,.,0,1,1.2093499038878768,0.6848774,0.36800957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525102,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,4,1,3,1,1,10,8,2
DB525103,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,1,2,2,2,0,7,5,5
DB525104,ｱｸｾﾝﾄﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ,PEACE,EC,"5,000",通年QVC,2025年5月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525202,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ25,PEACE,テレビ・EC,"6,000",通年QVC,2025年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱,B,.,0,3,1.2093499038878768,0.6488563,0.8092061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525204,綿混楽々dailyﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"5,500",通年QVC,2025年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,0,0,0,0.35910004,0.6902382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525207,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"8,000",通年QVC,2025年8月,通年,0,なし,一般~グラマー,見せない,日中,3,自然,中,B,.,0,0,1.2093499038878768,0.5046241,0.63215363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525301,ｼｬｲﾆｰﾍﾞﾛｱﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"6,000",通年QVC,2025年10月,通年,0,なし,一般,見せる,日中,2,自然,弱,B,.,0,2,1.4142135623730951,0.2898136,0.38364705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525404,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,300",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB525406,綿混ｷｬｯﾁｬｰｶｯﾌﾟﾚｰｽﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"6,800",通年QVC,2025年12月,通年,0,なし,一般~グラマー,見せない,日中,4,自然,中,C,.,1,1,1.860786712665806,0.8368658,0.34685043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME06601,新オールインワンライト,Me,店舗・EC,"5,400",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,.,0,5,0,0.88737744,0.04336548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME08503,シルク混ナイトブラ,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,一般,見せない,就寝,2,自然,弱,A,.,0,0,2,0.4212656,0.9542247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME09502,新オールインワンライトブラキャミ,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,.,0,5,0,0.88737744,0.04336548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME118307,BRADELISHUGME Bralette,Me,EC,"4,700",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,◎,1,7,0,0.9181758,0.6077446,169,183,125,174,236,192,165,150,358,311,0,0,2063,477,159
ME122105,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾌﾞﾗ,Me,店舗・EC,"5,200",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ,強,A,◎,1,5,2,0.95018816,0.22024933,"2,229","2,246","2,218","1,930","1,731","2,158","1,733","1,815","1,694","1,883","1,799","1,431",22867,"6,693","2,231"
ME123102,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾌﾞﾗ23S1,Me,店舗・EC,"5,200",定番,通年,夏,0,なし,一般,見せない,日中,5,高さ,強,A,◎,1,8,1.8607867126658055,0.71446794,0.12894738,"1,057",945,948,809,729,"1,037",961,"1,193","1,287","1,357","1,140","1,019",12482,"2,950",983
ME123103,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨｵｰﾙｲﾝﾜﾝﾌﾞﾗ,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,〇,0,5,1.4142135623730951,1,0.12886515,559,591,621,568,492,603,431,474,356,522,689,568,6474,"1,771",590
ME124103,ﾌﾞﾗﾃﾞﾘｽ ｵｰﾙｲﾝﾜﾝﾗｲﾄﾌﾞﾗ,Me,店舗・EC,"5,200",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,〇,0,5,0,0.88737744,0.04336548,103,79,81,111,96,179,264,342,552,777,633,223,3440,263,87
ME124301,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾚｰｼｨﾌﾞﾗ24A1,Me,店舗・EC,"5,700",2024AW,2024年7月,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,中,C,.,0,5,1.4142135623730951,0.7507367,0,167,127,126,106,92,112,130,125,16,0,0,0,1001,420,140
ME124302,ﾌﾞﾗﾃﾞﾘｽ ﾌﾛﾝﾄﾎｯｸﾌﾞﾗ24A1,Me,店舗・EC,"5,000",2024AW,2024年9月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,3,0,0.69364023,0.6398931,211,142,94,70,68,93,76,79,127,15,0,0,975,447,149
ME124303,ﾌﾞﾗﾃﾞﾘｽ WithMeﾌﾞﾗ24A1,Me,店舗・EC,"5,500",2024AW,2024年10月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,C,.,0,7,0,0.9181758,0.6077446,438,385,371,207,123,137,68,58,42,49,0,0,1878,"1,194",398
ME124304,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰｻﾎﾟｰﾄﾌﾞﾗ,Me,店舗・EC,"4,500",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,弱,A,〇,0,0,1.4142135623730951,0.4574266,0.80192536,"1,313","1,179","1,016",861,653,826,687,809,852,843,723,696,10458,"3,508","1,169"
ME125101,ﾌﾞﾗﾃﾞﾘｽ Perfumyﾊﾞｯｸｽﾑｰｽﾞﾌﾞﾗ25S1,Me,店舗・EC,"6,000",2025SS,2025年1月,通年,0,なし,一般~グラマー,見せない,日中,4,高さ,強,B,.,0,8,1.4142135623730951,0.85240173,0.24377033,0,0,0,143,380,373,256,205,160,18,0,0,1535,896,298
ME125102,ﾌﾞﾗﾃﾞﾘｽ Plushﾌﾞﾗ25S1,Me,店舗・EC,"5,400",2025SS,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,B,.,0,7,0,0.9181758,0.6077446,0,0,0,0,0,0,174,286,348,285,238,170,1501,808,269
ME125301,ﾌﾞﾗﾃﾞﾘｽ LiftMeUpﾌﾞﾗ,Me,店舗・EC,"5,500",定番,通年,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,〇,1,7,1.4142135623730951,0.5428693,0.024802685,0,0,0,0,0,0,0,0,0,492,646,471,1609,"1,609",536
ME125302,ﾌﾞﾗﾃﾞﾘｽ Sweet Night Bra,Me,店舗・EC,"5,800",2025AW,2025年8月,通年,0,なし,一般,見せない,就寝,3,高さ/自然,中,B,.,0,6,2,0.9081366,0.7987006,0,0,0,0,0,0,0,0,0,0,218,"1,084",1302,"1,302",651
ME125303,ﾌﾞﾗﾃﾞﾘｽ ﾌﾚﾝﾄﾞﾘｰﾎｰﾙﾄﾞﾌﾞﾗ,Me,店舗・EC,"5,000",定番,通年,通年,0,なし,一般~グラマー,見せない,all,2,自然,弱,A,〇,1,0,1.4142135623730951,0.4574266,0.80192536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
