品番,シーズン,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y
ME124303,通年,プチ~一般,見せない,日中,3,高さ/自然,4,3.2927225399135965e-10,0.44504082,0.7249236
ME124304,通年,一般~グラマー,見せない,all,2,自然,0,0.011502744038673098,0.29957932,0.22062624
ME125101,通年,一般~グラマー,見せない,日中,4,高さ,1,0.002766310039411106,0.994936,0.780658
ME125102,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0068897804285338315,0.3826431,0.6573023
ME125301,夏,プチ~一般,見せない,日中,3,高さ/自然,4,0.011748019261793542,0.35600942,0.77540207
ME125302,通年,一般,見せない,就寝,3,高さ/自然,1,0.036224585718496675,0.76591015,0.65371066
ME125303,通年,一般~グラマー,見せない,all,2,自然,0,0.016041893864615502,0.21439719,0.20463115
ME126101,通年,プチ,見せない,就寝,2,自然,4,0.027709993487238325,0.3302189,0.5633271
ME126103,夏,プチ~一般,見せる,日中,2,自然,2,0.0006249553458307703,0.97378075,0.1321209
ME126104,夏,一般~グラマー,見せる,日中,2,自然,2,0.0006249553458314642,0.97378075,0.1321209
ME518306,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0,0.44504082,0.7249236
ME522301,通年,一般~グラマー,見せない,all,4,高さ/自然,1,0.004665481146329224,0.7949991,0.93323725
ME524301,夏,一般~グラマー,見せない,日中,4,高さ/自然,1,0.0,0.8829798,0.8925184
ME524302,通年,一般,見せない,日中,4,高さ/自然,1,0.01654141895595597,0.8080033,0.8284661
ME525101,夏,一般,見せる,日中,2,自然,2,0.0003024608695783697,0.8733947,0.3332137
ME525301,夏,プチ~一般,見せない,日中,3,高さ/自然,4,0.011748019261793504,0.35600942,0.77540207
ME525303,通年,一般,見せない,日中,4,高さ/自然,1,0.018857346472250232,0.85102236,0.6963878
ME525304,冬,一般,見せる,日中,2,自然,2,0.0018677202547358873,0.8751333,0.0838114
ME525305,夏,一般,見せる,日中,2,自然,2,0.00010988160221143182,0.78226274,0.11924046
ME526101,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443
MG02503,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443
MG07501,通年,プチ~一般,見せない,就寝,1,自然,4,0.03900178145716851,0.36870968,0.44422805
MG07502,夏,一般,見せる,日中,2,自然,2,9.313225746154785e-10,0.8792303,0.21192443
MG07504,通年,グラマー,見せない,日中,2,自然,0,0.00222129721529981,0.23757893,0.0
MG07505,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443
MG122201,通年,一般~グラマー,見せない,日中,3,高さ/自然,1,0.02406502313101966,0.78718007,0.750621
MG124301,通年,プチ~一般,見せない,all,2,自然,4,0.029610803368373736,0.27830017,0.5024618
MG125201,通年,一般,見せない,日中,3,高さ/自然,4,0.02668268851027631,0.6283029,0.6678262
MG125301,通年,一般~グラマー,見せない,日中,3,高さ/自然,1,0.021709834930446092,0.72968173,0.84050155
MG523101,通年,一般,見せる,日中,2,自然,2,0.009581976934911467,0.95664907,0.30738056
MG525401,通年,一般,見せない,日中,2,自然,0,0.04095617180694711,0.35982323,0.30004036
MG525402,冬,一般,見せない,日中,2,自然,2,0.0017296723431483084,0.76687974,0.20669663
MG525403,冬,一般,見せる,日中,2,自然,2,0.0018677202547354229,0.8751333,0.0838114
MG525404,冬,一般,見せる,日中,2,自然,2,0.0018677202547354229,0.8751333,0.0838114
YH09501,通年,一般~グラマー,見せない,日中,2,自然,0,0.0025362451980708196,0.26772684,0.11558342
YH124201,通年,一般~グラマー,見せない,日中,2,自然,0,0.0025362451980706483,0.26772684,0.11558342
YH124301,通年,一般~グラマー,見せない,日中,2,自然,0,0.00264472344010469,0.18080968,0.07982123
YH125201,通年,一般~グラマー,見せない,日中,2,自然,0,0.001627615445730985,0.43632686,0.063893795
YH125401,通年,一般~グラマー,見せない,日中,2,自然,0,0.0,0.33760297,0.02692163
YH524101,通年,一般~グラマー,見せない,日中,2,自然,0,0.0028745244893204785,0.37271625,0.14914328
YH524301,通年,一般~グラマー,見せない,日中,2,自然,0,0.002874524489320328,0.37271625,0.14914328
YH525101,通年,一般~グラマー,見せない,日中,2,自然,0,0.0,0.33760297,0.02692163
YH525301,通年,一般~グラマー,見せない,日中,2,自然,0,0.0,0.33760297,0.02692163
YH525401,通年,一般~グラマー,見せない,日中,2,自然,0,0.0025362451980709905,0.26772684,0.11558342
