品番,シーズン,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y
BT09501,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443
BT09503,夏,一般,見せる,日中,2,自然,2,9.313225746154785e-10,0.8792303,0.21192443
CA525301,通年,一般,見せる,日中,3,高さ/自然,4,0.032772504258050505,0.52142894,0.83954346
CA525104,通年,一般,見せる,日中,3,高さ/自然,4,0.032772504258050526,0.52142894,0.83954346
CA526101,夏,一般,見せる,日中,3,高さ/自然,2,0.019207562759994485,0.7885666,0.3008151
CA126106,通年,一般,見せない,日中,4,高さ,1,0.006247644017004744,0.88980234,0.791095
CA126115,通年,一般,見せない,日中,4,高さ,1,0.006247644017004883,0.88980234,0.791095
DB12417,通年,グラマー,見せない,日中,4,自然,1,0.04010367593011551,0.695611,0.7348157
DB12420,通年,グラマー,見せない,日中,4,自然,1,0.04010367593011555,0.695611,0.7348157
DB124201,通年,一般,見せない,日中,3,自然,3,0.009519281651110647,0.2338959,0.747425
DB124202,通年,一般,見せない,日中,3,自然,3,0.009519281651110625,0.2338959,0.747425
DB12422,通年,一般,見せない,日中,3,自然,3,0.011074601044727678,0.24934584,0.6377522
DB12424,通年,一般,見せない,日中,3,自然,3,0.02040771474035584,0.31537807,0.69323516
DB124302,通年,一般,見せない,日中,4,自然,4,0.01392314842198693,0.53548974,0.6174743
DB125101,通年,プチ~一般,見せない,日中,3,自然,3,0.006180861757880972,0.094744205,0.6723608
DB125102,通年,プチ~一般,見せない,日中,3,自然,3,0.006180861757880972,0.094744205,0.6723608
DB125103,通年,プチ~一般,見せない,日中,3,自然,3,0.0,0.17335606,0.67945653
DB125202,通年,一般,見せない,日中,3,自然,3,0.009267951280663772,0.26600397,0.8396435
DB125203,通年,一般,見せない,日中,3,自然,3,0.011074601044727678,0.24934584,0.6377522
DB125401,通年,プチ~一般,見せない,日中,3,自然,3,0.011705392091162142,0.055315495,0.578282
DB524201,通年,プチ~一般,見せない,日中,2,自然,3,0.015505709936741711,0.16531682,0.5643785
DB524203,通年,一般~グラマー,見せない,日中,2,自然,0,0.002874524489320328,0.37271625,0.14914328
DB525101,通年,一般,見せない,日中,4,自然,4,0.013923148421986898,0.53548974,0.6174743
DB525102,通年,プチ~一般,見せない,日中,3,自然,3,0.002578929826910283,0.1754927,0.8422976
DB525103,通年,プチ~一般,見せない,日中,3,自然,3,0.004590475897552657,0.13567102,0.76182806
DB525104,通年,プチ~一般,見せない,日中,3,自然,3,0.008929457848252787,0.043407917,0.76284534
DB525202,通年,プチ~一般,見せない,日中,2,自然,3,0.015505709936741684,0.16531682,0.5643785
DB525204,通年,一般~グラマー,見せない,日中,2,自然,0,0.0,0.33760297,0.02692163
DB525207,通年,一般~グラマー,見せない,日中,3,自然,4,0.024317111562794945,0.43164533,0.53106105
DB525301,通年,一般,見せる,日中,2,自然,2,0.008171624562723235,1.0,0.22981375
DB525404,通年,プチ~一般,見せない,日中,3,自然,3,0.009490874106677507,0.087068975,0.8425774
DB525406,通年,一般~グラマー,見せない,日中,4,自然,4,0.013129992478057018,0.45628148,0.62242556
ME06601,夏,一般~グラマー,見せない,all,4,高さ/自然,1,0.008544508520564402,0.9775686,0.8746873
ME08503,通年,一般,見せない,就寝,2,自然,4,0.039832515723394475,0.47270977,0.4498399
ME09502,夏,一般~グラマー,見せない,all,4,高さ/自然,1,0.00854450852056435,0.9775686,0.8746873
ME118307,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.006845490491949818,0.5305296,0.7166961
ME122105,通年,一般~グラマー,見せない,all,4,高さ,1,0.008598044383506212,0.8713982,1.0
ME123102,夏,一般,見せない,日中,5,高さ,1,0.0049375965271013095,0.9449717,0.7082522
ME123103,通年,一般~グラマー,見せない,all,4,高さ/自然,1,0.004665481146329317,0.7949991,0.93323725
ME124103,夏,一般~グラマー,見せない,all,4,高さ/自然,1,0.008777889850338146,0.9545827,0.97278404
ME124301,夏,一般~グラマー,見せない,日中,4,高さ/自然,1,0.0,0.8829798,0.8925184
ME124302,通年,プチ~一般,見せない,日中,3,自然,3,0.012513765261997021,0.0,0.675467
