ブランド名,チャネル,品番,名前,写真,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン,シーン,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
PEACE,テレビ・EC,DB125103,ﾊｰﾄﾌﾙｶｯﾌﾟｶｼｭｸｰﾙﾌﾞﾗﾌﾟﾚｰﾝﾀｲﾌﾟ25,画像,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,,0,0,0.5176648,0.61132574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB125202,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,-,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,,5,0,0.40962505,0.6612631,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
PEACE,テレビ・EC,DB125203,細みえｼﾝﾌﾟﾙﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,-,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,,5,0,0.40962505,0.6612631,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
PEACE,テレビ・EC,DB125401,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗ25,画像,"5,800",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,,0,0.43187822,0.5815879,0.570047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB524201,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ24,画像,"6,000",通年QVC,2024年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱,C,,0,1.236799886,0.5113473,0.47556174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB524203,綿混楽々ﾊﾞｽﾄｷｰﾌﾟｷｬﾐ24,画像,"5,200",通年QVC,2024年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱,C,,0,2.089324811,0.575328,0.31372482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB525101,綿さらﾀｯﾁ!ﾅﾁｭﾗﾙﾌｨｯﾄﾌﾞﾗｷｬﾐ25,画像,"7,300",通年QVC,2025年3月,通年,0,なし,一般,見せない,日中,4,自然,中,C,,9,1.478688201,0.40478605,0.8451576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB525102,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,画像,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,,0,0.950132083,0.5643195,0.71660316,0,0,0,0,0,0,0,0,4,1,3,1,1,10,8,2
PEACE,テレビ・EC,DB525103,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,画像,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,,0,0.950132083,0.5643195,0.71660316,0,0,0,0,0,0,0,0,1,2,2,2,0,7,5,5
PEACE,EC,DB525104,ｱｸｾﾝﾄﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ,-,"5,000",通年QVC,2025年5月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,,0,1.805787104,0.6238804,0.49433142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB525202,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ25,画像,"6,000",通年QVC,2025年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱,B,,0,1.236799886,0.5113473,0.47556174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
