品番,シーズン,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y,tsne_x_pred,tsne_y_pred
ME124302,通年,プチ~一般,見せない,日中,3,自然,3,0.012513765261997,0.0,0.675467,0.1720038565955595,0.700825627835591
ME124303,通年,プチ~一般,見せない,日中,3,高さ/自然,4,3.2927225399135965e-10,0.44504082,0.7249236,0.35637710602104633,0.8160595069800535
ME124304,通年,一般~グラマー,見せない,all,2,自然,0,0.011502744038673,0.29957932,0.22062624,0.40412748474247717,0.29922682390168265
ME125101,通年,一般~グラマー,見せない,日中,4,高さ,1,0.0027663100394111,0.994936,0.780658,0.901250906248698,0.683134689717858
ME125102,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0068897804285338,0.3826431,0.6573023,0.35637710602104633,0.8160595069800535
ME125301,夏,プチ~一般,見せない,日中,3,高さ/自然,4,0.0117480192617935,0.35600942,0.77540207,0.5382734051246396,0.7264485811570749
ME125302,通年,一般,見せない,就寝,3,高さ/自然,1,0.0362245857184966,0.76591015,0.65371066,0.7943578141586445,0.818821888470565
ME125303,通年,一般~グラマー,見せない,all,2,自然,0,0.0160418938646155,0.21439719,0.20463115,0.40412748474247717,0.29922682390168265
ME126101,通年,プチ,見せない,就寝,2,自然,4,0.0277099934872383,0.3302189,0.5633271,0.33021889999999976,0.5633271000000003
ME126103,夏,プチ~一般,見せる,日中,2,自然,2,0.0006249553458307,0.97378075,0.1321209,0.6557390230942981,0.33514388106156234
ME126104,夏,一般~グラマー,見せる,日中,2,自然,2,0.0006249553458314,0.97378075,0.1321209,0.9100116272403882,0.07708489604369062
ME518306,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0,0.44504082,0.7249236,0.35637710602104633,0.8160595069800535
ME522301,通年,一般~グラマー,見せない,all,4,高さ/自然,1,0.0046654811463292,0.7949991,0.93323725,0.7408623035349695,0.9631056602667755
ME524301,夏,一般~グラマー,見せない,日中,4,高さ/自然,1,0.0,0.8829798,0.8925184,0.8687267939542325,0.7427120747495184
ME524302,通年,一般,見せない,日中,4,高さ/自然,1,0.0165414189559559,0.8080033,0.8284661,0.6110128802790001,0.9456338468821949
ME525101,夏,一般,見せる,日中,2,自然,2,0.0003024608695783,0.8733947,0.3332137,0.8341940126687492,0.19039574235338846
ME525301,夏,プチ~一般,見せない,日中,3,高さ/自然,4,0.0117480192617935,0.35600942,0.77540207,0.5382734051246396,0.7264485811570749
ME525303,通年,一般,見せない,日中,4,高さ/自然,1,0.0188573464722502,0.85102236,0.6963878,0.6110128802790001,0.9456338468821949
ME525304,冬,一般,見せる,日中,2,自然,2,0.0018677202547358,0.8751333,0.0838114,0.9425748230196618,0.11409562191481626
ME525305,夏,一般,見せる,日中,2,自然,2,0.0001098816022114,0.78226274,0.11924046,0.8341940126687492,0.19039574235338846
ME526101,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443,0.8341940126687492,0.19039574235338846
MG02503,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443,0.8341940126687492,0.19039574235338846
MG07501,通年,プチ~一般,見せない,就寝,1,自然,4,0.0390017814571685,0.36870968,0.44422805,0.27916800579170103,0.29969119081364604
MG07502,夏,一般,見せる,日中,2,自然,2,9.313225746154783e-10,0.8792303,0.21192443,0.8341940126687492,0.19039574235338846
MG07504,通年,グラマー,見せない,日中,2,自然,0,0.0022212972152998,0.23757893,0.0,0.4413592637553294,0.12411382851957975
MG07505,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443,0.8341940126687492,0.19039574235338846
MG122201,通年,一般~グラマー,見せない,日中,3,高さ/自然,1,0.0240650231310196,0.78718007,0.750621,0.6106497101671364,0.5580005219621818
MG124301,通年,プチ~一般,見せない,all,2,自然,4,0.0296108033683737,0.27830017,0.5024618,0.14985488059638707,0.5572858089195544
MG125201,通年,一般,見せない,日中,3,高さ/自然,4,0.0266826885102763,0.6283029,0.6678262,0.5348320955954973,0.6713113682718796
MG125301,通年,一般~グラマー,見せない,日中,3,高さ/自然,1,0.021709834930446,0.72968173,0.84050155,0.6106497101671364,0.5580005219621818
MG523101,通年,一般,見せる,日中,2,自然,2,0.0095819769349114,0.95664907,0.30738056,0.6522977135651558,0.280006668176367
MG525401,通年,一般,見せない,日中,2,自然,0,0.0409561718069471,0.35982323,0.30004036,0.2742780614865078,0.28175501051710206
MG525402,冬,一般,見せない,日中,2,自然,2,0.0017296723431483,0.76687974,0.20669663,0.5645551709410137,0.11584396425555127
MG525403,冬,一般,見せる,日中,2,自然,2,0.0018677202547354,0.8751333,0.0838114,0.9425748230196618,0.11409562191481626
MG525404,冬,一般,見せる,日中,2,自然,2,0.0018677202547354,0.8751333,0.0838114,0.9425748230196618,0.11409562191481626
YH09501,通年,一般~グラマー,見せない,日中,2,自然,0,0.0025362451980708,0.26772684,0.11558342,0.35009567605814673,0.16844416420740416
YH124201,通年,一般~グラマー,見せない,日中,2,自然,0,0.0025362451980706,0.26772684,0.11558342,0.35009567605814673,0.16844416420740416
YH124301,通年,一般~グラマー,見せない,日中,2,自然,0,0.0026447234401046,0.18080968,0.07982123,0.35009567605814673,0.16844416420740416
YH125201,通年,一般~グラマー,見せない,日中,2,自然,0,0.0016276154457309,0.43632686,0.063893795,0.35009567605814673,0.16844416420740416
YH125401,通年,一般~グラマー,見せない,日中,2,自然,0,0.0,0.33760297,0.02692163,0.35009567605814673,0.16844416420740416
YH524101,通年,一般~グラマー,見せない,日中,2,自然,0,0.0028745244893204,0.37271625,0.14914328,0.35009567605814673,0.16844416420740416
YH524301,通年,一般~グラマー,見せない,日中,2,自然,0,0.0028745244893203,0.37271625,0.14914328,0.35009567605814673,0.16844416420740416
YH525101,通年,一般~グラマー,見せない,日中,2,自然,0,0.0,0.33760297,0.02692163,0.35009567605814673,0.16844416420740416
YH525301,通年,一般~グラマー,見せない,日中,2,自然,0,0.0,0.33760297,0.02692163,0.35009567605814673,0.16844416420740416
YH525401,通年,一般~グラマー,見せない,日中,2,自然,0,0.0025362451980709,0.26772684,0.11558342,0.35009567605814673,0.16844416420740416
