品番,ブランド名,チャネル,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,上代数値,cluster,medoid_score,tsne_x,tsne_y
CA125314,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ/自然,15000,0,1.750381851,0.09845054,1
CA125315,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,9200,2,0.27504655,0.24895442,0.31411803
CA125316,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,9500,0,0.859520468,0.06799066,0.6140529
CA525301,NY,店舗・EC,通年,0,なし,一般,見せる,日中,3,高さ/自然,7500,1,2.553679688,0.52319556,0.3950839
CA126101,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,12000,5,0,0.19577157,0.75208664
CA126102,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,11000,2,0.343808187,0.19607651,0.42823648
CA126103,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,11000,2,0.343808187,0.23631978,0.42283416
CA126104,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.08948344,0.7446629
CA126105,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.08948344,0.7446629
CA126106,NY,店舗・EC,通年,0,なし,一般,見せない,日中,4,高さ,11000,5,2.190456642,0.37159044,0.27500528
CA126107,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ,14000,5,1.572519087,0.16886044,0.957862
CA126108,NY,店舗・EC,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,12000,8,0.343808187,0.002619684,0.3764826
CA126109,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,11000,2,0.343808187,0.19607651,0.42823648
CA126110,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,12000,5,0,0.19577157,0.75208664
CA126111,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,12000,2,0.687616374,0.15334499,0.39220697
CA126112,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ/自然,15000,0,1.750381851,0.09845054,1
CA126113,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.08948344,0.7446629
CA126114,NY,店舗・EC,通年,なし,あり,グラマー,見せない,日中,4,自然,12000,8,1.672752313,0.06983107,0.31703842
CA126115,NY,店舗・EC,通年,0,なし,一般,見せない,日中,4,高さ,11000,5,2.190456642,0.38917255,0.30786085
CA526101,NY,店舗・EC,夏,0,なし,一般,見せる,日中,3,高さ/自然,8000,7,2.315329711,0.5342546,0.3212515
CA02519,NY,店舗・EC,夏,1,あり,一般,見せない,日中,4,自然,10000,2,1.637038861,0.28406453,0.39214617
DB124201,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,3,自然,5800,6,1.424623114,0.92017585,0.7280277
DB124202,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,3,自然,5800,6,1.424623114,0.92017585,0.7280277
DB124302,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,4,自然,6300,6,1.637038861,0.91398835,0.82628727
DB125401,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,5800,6,0.171904094,0.8050312,0.5584987
DB125101,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,6300,6,0,0.8381132,0.606891
DB125102,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,6300,6,0,0.797838,0.6336683
DB125103,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,6300,6,0,0.8381132,0.606891
DB125202,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,3,自然,6300,6,1.414213562,0.8826705,0.6854859
DB125203,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,3,自然,6300,6,1.414213562,0.8826705,0.6854859
DB524201,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,2,自然,6000,6,0.830984114,0.8380362,0.5033424
DB524203,PEACE,テレビ・EC,通年,0,なし,一般~グラマー,見せない,日中,2,自然,5200,6,1.680155694,0.88733304,0.46729124
DB525404,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,7300,6,0.343808187,0.79022825,0.71295905
DB525101,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,4,自然,7300,6,1.672752313,0.8803523,0.8507801
DB525102,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,7400,6,0.378189006,0.8275895,0.6933808
DB525103,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,7400,6,0.378189006,0.8275895,0.6933808
DB525202,PEACE,テレビ・EC,通年,0,なし,プチ~一般,見せない,日中,2,自然,6000,6,0.830984114,0.8380362,0.5033424
DB525204,PEACE,テレビ・EC,通年,0,なし,一般~グラマー,見せない,日中,2,自然,5500,6,1.659983986,0.9113207,0.5080744
DB525207,PEACE,テレビ・EC,通年,0,なし,一般~グラマー,見せない,日中,3,自然,8000,6,1.53023193,0.8832886,0.5753942
DB525301,PEACE,テレビ・EC,通年,0,なし,一般,見せる,日中,2,自然,6000,6,2.165764206,0.95740294,0.640848
DB525406,PEACE,テレビ・EC,通年,0,なし,一般~グラマー,見せない,日中,4,自然,6800,6,1.646039868,0.8441349,0.7898326
DB525104,PEACE,EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,5000,1,2.453347234,0.7651402,0.57078445
DB12417【仮】,PEACE,テレビ・EC,通年,0,なし,グラマー,見せない,日中,4,自然,5800,6,1.646039868,0.83696544,0.88647246
DB12422【仮】,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,3,自然,6300,6,1.414213562,0.91486174,0.6401781
DB12424【仮】,PEACE,テレビ・EC,通年,0,なし,一般,見せない,日中,3,自然,7400,6,1.4639081,0.88292605,0.7663961
DB12420【仮】,PEACE,テレビ・EC,通年,0,なし,グラマー,見せない,日中,4,自然,7400,6,1.680155694,0.80960345,0.83769745
YH124201,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,3900,4,0.240665731,0.94633263,0.19353998
YH524101,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,5200,4,0.206284912,0.9617951,0.34839666
YH124301,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,3800,4,0.27504655,1,0.2958709
YH524301,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,4600,4,0,0.9725912,0.24443704
YH525401,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,5200,4,0.206284912,0.9617951,0.34839666
YH125401,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,4600,4,0,0.9272138,0.2804548
YH525101,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,5200,4,0.206284912,0.9617951,0.34839666
YH125201,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,4600,4,0,0.9272138,0.2804548
YH525301,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,5200,4,0.206284912,0.9617951,0.34839666
YH09501,Yukine. Inc.,テレビ・EC,通年,なし,なし,一般~グラマー,見せない,日中,2,自然,4600,4,0,0.9272138,0.2804548
ME118307,Me,EC,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,4700,1,1.434545222,0.69738495,0.67189384
ME122105,Me,店舗・EC,通年,0,なし,一般~グラマー,見せない,all,4,高さ,5200,9,2.001181692,0.64954805,0.90831363
ME123102,Me,店舗・EC,夏,0,なし,一般,見せない,日中,5,高さ,5200,9,2.585464058,0.5203503,0.7300612
ME123103,Me,店舗・EC,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,5400,9,1.414213562,0.61339116,0.93347883
ME124103,Me,店舗・EC,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,5200,9,0.068761637,0.5736052,0.9422113
ME124301,Me,店舗・EC,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,5700,9,1.417969804,0.5702908,0.7738266
ME124302,Me,店舗・EC,通年,0,なし,プチ~一般,見せない,日中,3,自然,5000,1,1.420884461,0.673905,0.58359396
ME124303,Me,店舗・EC,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,5500,1,0.034380819,0.63285935,0.62009364
ME124304,Me,店舗・EC,通年,0,なし,一般~グラマー,見せない,all,2,自然,4500,9,2.610618743,0.6820109,0.47297442
ME125101,Me,店舗・EC,通年,0,なし,一般~グラマー,見せない,日中,4,高さ,6000,9,2.458160586,0.65827614,0.8326696
ME125102,Me,店舗・EC,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,5400,1,0,0.65531933,0.66960967
ME125301,Me,店舗・EC,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,5500,9,2.163579967,0.5863006,0.62194276
ME125302,Me,店舗・EC,通年,0,なし,一般,見せない,就寝,3,高さ/自然,5800,1,2.004722587,0.61134493,0.5286418
ME125303,Me,店舗・EC,通年,0,なし,一般~グラマー,見せない,all,2,自然,5000,9,2.595861625,0.67981327,0.41969842
ME518306,Me,店舗・EC,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,5400,1,0,0.65531933,0.66960967
ME522301,Me,店舗・EC,通年,0,なし,一般~グラマー,見せない,all,4,高さ/自然,5800,9,1.420884461,0.61430395,0.8633182
ME524301,Me,店舗・EC,夏,0,なし,一般~グラマー,見せない,日中,4,高さ/自然,6300,9,1.447668918,0.5451623,0.80448365
ME524302,Me,店舗・EC,通年,0,なし,一般,見せない,日中,4,高さ/自然,6000,9,2.458160586,0.62470514,0.74978113
ME525101,Me,店舗・EC,夏,0,なし,一般,見せる,日中,2,自然,5600,7,0,0.6160406,0.13901627
ME525301,Me,店舗・EC,夏,0,なし,プチ~一般,見せない,日中,3,高さ/自然,6000,9,2.173119807,0.56338614,0.6581666
ME525303,Me,店舗・EC,通年,0,なし,一般,見せない,日中,4,高さ/自然,6300,9,2.468956317,0.6073035,0.70853305
ME525304,Me,店舗・EC,冬,0,なし,一般,見せる,日中,2,自然,6500,7,1.447668918,0.6431185,0.20085174
ME525305,Me,店舗・EC,夏,0,なし,一般,見せる,日中,2,自然,5600,7,5.96E-08,0.6160406,0.13901627
ME126101,Me,店舗・EC,通年,0,なし,プチ,見せない,就寝,2,自然,6000,1,2.592768732,0.63934183,0.39438158
ME126104,Me,店舗・EC,夏,0,なし,一般~グラマー,見せる,日中,2,自然,6000,7,1.420884461,0.57419145,0.1903044
ME126103,Me,店舗・EC,夏,0,なし,プチ~一般,見せる,日中,2,自然,6300,7,1.434545222,0.6016463,0.23291045
ME06601,Me,店舗・EC,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,5400,9,0,0.5769261,0.86751175
ME09502,Me,店舗・EC,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,6000,9,0.206284912,0.5474043,0.8977931
ME526101,Me,店舗・EC,夏,0,なし,一般,見せる,日中,2,自然,6300,7,0.240665731,0.58672404,0.11597121
ME08503,Me,店舗・EC,通年,0,なし,一般,見せない,就寝,2,自然,5400,1,2.584549522,0.6298841,0.4518155
MG121102,MAGIC,EC,通年,1,あり,一般,見せない,日中,5,自然,6800,2,2.282632181,0.26204383,0.121726155
MG122201,MAGIC,EC,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,4800,1,2.458160586,0.74279857,0.40141666
MG124301,MAGIC,EC,通年,0,なし,プチ~一般,見せない,all,2,自然,6300,1,2.96237093,0.8139679,0.26345325
MG125201,MAGIC,EC,通年,0,なし,一般,見せない,日中,3,高さ/自然,6300,1,2.468956317,0.7366897,0.3158028
MG125301,MAGIC,EC,通年,0,なし,一般~グラマー,見せない,日中,3,高さ/自然,6800,1,2.496333306,0.7629094,0.36949992
MG07501,MAGIC,EC,通年,0,なし,プチ~一般,見せない,就寝,1,自然,5000,1,3.276964689,0.8179985,0.1953342
MG07504,MAGIC,EC,通年,0,なし,グラマー,見せない,日中,2,自然,6300,1,2.96237093,0.77577186,0.23798585
MG523101,MAGIC,EC,通年,0,なし,一般,見せる,日中,2,自然,5400,1,3.268011051,0.71499217,0.1618135
MG525401,MAGIC,EC,通年,0,なし,一般,見せない,日中,2,自然,5600,1,2.946968679,0.75290954,0.19394052
MG525402,MAGIC,EC,冬,0,なし,一般,見せない,日中,2,自然,6300,1,3.282627229,0.7586399,0.10095286
MG525403,MAGIC,EC,冬,0,なし,一般,見せる,日中,2,自然,5800,7,2.450454685,0.72144127,0.07968795
MG525404,MAGIC,EC,冬,0,なし,一般,見せる,日中,2,自然,7000,7,2.496333306,0.7311406,0.016103506
MG07502,MAGIC,EC,夏,0,なし,一般,見せる,日中,2,自然,5400,7,2.001181692,0.68263316,0.03504634
MG02503,MAGIC,EC,夏,0,なし,一般,見せる,日中,2,自然,5400,7,2.001181692,0.68263316,0.03504634
MG07505,MAGIC,EC,夏,0,なし,一般,見せる,日中,2,自然,5600,7,2,0.68126696,0.1103127
