品番,店舗展開,写真,名前,cluster,medoid_score,tsne_x,tsne_y,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,Shop_初速3か月（月割）,Shop_初速3か月（平均）,EC_初速3か月（月割）,EC_初速3か月（平均）,Shop&EC_初速3か月（月割）,Sho&EC_初速3か月（平均）,top10
DB125202,,DB125202.jpg,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,3,0.009267951,0.26600397,0.8396435,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,,,60.0,60.0,63.0,63.0,0
DB125203,,DB125203.jpg,細みえｼﾝﾌﾟﾙﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,3,0.011074601,0.24934584,0.6377522,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,,,66.0,66.0,70.0,70.0,0
DB125401,,DB125401.jpg,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗ25,3,0.011705392,0.055315495,0.578282,PEACE,テレビ・EC,"5,800",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,,,546.0,182.0,0.0,0.0,0
DB524201,,DB524201.jpg,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ24,3,0.01550571,0.16531682,0.5643785,PEACE,テレビ・EC,"6,000",通年QVC,2024年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,,,456.0,152.0,0.0,0.0,0
DB524203,,DB524203.jpg,綿混楽々ﾊﾞｽﾄｷｰﾌﾟｷｬﾐ24,0,0.002874524,0.37271625,0.14914328,PEACE,テレビ・EC,"5,200",通年QVC,2024年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,,,1056.0,352.0,0.0,0.0,0
DB525101,,DB525101.jpg,綿さらﾀｯﾁ!ﾅﾁｭﾗﾙﾌｨｯﾄﾌﾞﾗｷｬﾐ25,4,0.013923148,0.53548974,0.6174743,PEACE,テレビ・EC,"7,300",通年QVC,2025年3月,通年,0,なし,一般,見せない,日中,4,自然,,,674.0,224.0,0.0,0.0,0
DB525102,,DB525102.jpg,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,3,0.00257893,0.1754927,0.8422976,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,,,295.0,98.0,303.0,100.0,0
DB525103,,DB525103.jpg,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,3,0.004590476,0.13567102,0.76182806,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,,,443.0,147.0,448.0,152.0,0
DB525104,,DB525104.jpg,ｱｸｾﾝﾄﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ,3,0.008929458,0.043407917,0.76284534,PEACE,EC,"5,000",通年QVC,2025年5月,通年,0,なし,プチ~一般,見せない,日中,3,自然,,,67.0,22.0,0.0,0.0,0
DB525202,,DB525202.jpg,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ25,3,0.01550571,0.16531682,0.5643785,PEACE,テレビ・EC,"6,000",通年QVC,2025年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,,,904.0,301.0,0.0,0.0,0
