1	淡いラベンダー色も他にはない色味で、とても気に入っています
2	乳がん全摘ブラジャーというものを色々購入して着用しましたが満足のいくものには出会ず、あきらめておりました
3	お腹回りの締め付けは思ったよりもソフトで、もう少し補正力があってもいいかな、って感じです
4	肩ひもが調節可能で、パットが一体化していて、レースがいい感じです
5	店舗で購入してからオンラインで追加購入しました
6	着け心地の安定感は最高です
7	やはりこのタイプは背中がボコボコしたシルエットが出ないので薄い生地の服を着る時に役立ちます
8	このタイプのブラは店舗で試着購入して以前から使用していましたが、こちらは肩紐が調節出来るので更に良いです
9	試着したとき「きっっっっっつ
10	ボディの締め付け感は全くなく30度超えの日に着用したが生地がサラサラとして快適だった
