品番,ブランド名,チャネル,シーズン,ステップ,タイプ,シーン1,シーン2,補整力,シルエット,上代数値,cluster,medoid_score,tsne_x,tsne_y
ME124301,Me,店舗・EC,夏,0,一般~グラマー,見せない,日中,4,高さ/自然,5700,4,1.43775754798539,0.8383749,0.8412612
ME124302,Me,店舗・EC,通年,0,プチ~一般,見せない,日中,3,自然,5000,1,1.4558063160486159,0.68776774,0.60876685
ME124303,Me,店舗・EC,通年,0,プチ~一般,見せない,日中,3,高さ/自然,5500,1,0.08637564393647691,0.800481,0.6289773
ME124304,Me,店舗・EC,通年,0,一般~グラマー,見せない,all,2,自然,4500,6,0.4318782196823578,0.48894656,0.1923629
ME125101,Me,店舗・EC,通年,0,一般~グラマー,見せない,日中,4,高さ,6000,4,2.503714653700746,0.964616,0.73338985
ME125102,Me,店舗・EC,通年,0,プチ~一般,見せない,日中,3,高さ/自然,5400,1,0.0,0.7486353,0.66465133
ME125301,Me,店舗・EC,夏,0,プチ~一般,見せない,日中,3,高さ/自然,5500,1,1.416848881096866,0.7212813,0.77483517
ME125302,Me,店舗・EC,通年,0,一般,見せない,就寝,3,高さ/自然,5800,1,2.0296236177791784,0.87291527,0.58052826
ME125303,Me,店舗・EC,通年,0,一般~グラマー,見せない,all,2,自然,5000,6,0.0,0.4498415,0.15842128
ME518306,Me,店舗・EC,通年,0,プチ~一般,見せない,日中,3,高さ/自然,5400,1,0.0,0.7486353,0.66465133
ME522301,Me,店舗・EC,通年,0,一般~グラマー,見せない,all,4,高さ/自然,5800,4,1.4558063160486152,0.9618423,0.8899535
ME524301,Me,店舗・EC,夏,0,一般~グラマー,見せない,日中,4,高さ/自然,6300,4,1.6137908480037466,0.7954618,0.8934133
ME524302,Me,店舗・EC,通年,0,一般,見せない,日中,4,高さ/自然,6000,1,1.9316092402940777,0.8603884,0.72659236
ME525101,Me,店舗・EC,夏,0,一般,見せる,日中,2,自然,5600,8,0.6046295075553031,0.11681461,0.5119815
ME525301,Me,店舗・EC,夏,0,プチ~一般,見せない,日中,3,高さ/自然,6000,1,1.5061829461110783,0.77499896,0.76769906
